Data,ALR,MDV,ENA,JSW,KGH,MIL,PEO,PGE,PKO,PZU,SPL,TPE,value
2025-05-05,9806.746402723324,9363.295880149813,9230.758108697824,9551.430781129156,8709.059974478947,13613.303269447577,11319.813256257747,11391.337468712592,10507.365054431853,10946.02574564493,9955.162336995261,13157.894736842107,127552.19301551113
2025-05-06,9585.821121133438,9393.088185223016,9179.495470485866,9361.948955916474,8751.595065929394,13049.605411499439,11041.130866596068,11342.365872238546,10279.557789090226,10684.031918958022,9698.416536673794,13412.280701754387,125779.33789549867
2025-05-07,9777.930980827916,9614.402451481103,9320.533446899795,9474.091260634184,8790.585566425636,13481.773769259678,11163.883823947046,11625.312874088584,10400.50405335872,10816.820921998182,9799.664784338269,14184.210526315792,128449.7144595749
2025-05-08,9897.991715196236,9878.277153558052,9551.281040184651,9222.737819025522,8790.585566425636,13228.109733183015,11346.354436225527,11851.126346718904,10484.864826715071,10820.40510139159,9749.030782628211,14495.614035087721,129316.37855634013
2025-05-09,10315.804762092013,10325.16172965611,9743.58165481054,9187.935034802786,8950.09215936481,13622.698233746713,11837.366265629438,12019.806290129503,11007.99512113025,11143.40747353713,9893.682425437828,14552.63157894737,132600.1627292845
2025-05-12,10282.190293409916,9661.218930881852,10237.21457225929,9222.737819025522,9194.668935204878,13340.849304772642,11860.589798101246,12076.939819349223,10971.424710799689,11172.119656569743,10130.751493140011,14644.736842105265,132795.44217561928
2025-05-13,10354.228848148436,9669.731018045624,11121.82368807079,9358.081979891724,9176.945980433858,13519.35362645622,12062.966295355562,12909.45695940799,10996.745007271858,11240.31593475786,10415.234374382635,15574.561403508775,136399.44511573133
2025-05-14,10291.79895757093,9601.634320735444,11326.93996224967,8963.650425367363,9013.89479654048,13848.177376925969,12109.413360299173,12536.728697355533,11103.606008344994,11211.60375172525,10375.722863098938,15311.403508771931,135694.5740289857
2025-05-15,10243.766207353494,9716.547497446374,11256.420974042705,8836.040216550658,8772.862611654617,14299.135663284482,12003.248640428057,12270.105560996844,10915.174141507736,11333.620842642513,10375.722863098938,15087.719298245616,135110.36451725205
2025-05-16,10306.206668518636,9942.117807286346,11621.765853299474,8870.843000773395,8748.050474975189,14214.580984592261,12062.966295355562,13050.930460333007,10850.493527112778,11362.333025675123,10553.524663875574,15820.175438596494,137403.98820039385
2025-05-19,10133.314137146188,9780.38815117467,11660.278553289487,8967.517401392111,8801.219339288247,13453.588876362272,11860.589798101246,12890.412449668083,10631.116306874153,11225.959843241555,10114.946888626533,16057.01754385965,135576.34928902422
2025-05-20,10248.575824727819,9648.450800136194,11589.75956508252,8955.916473317866,8762.228838792005,13491.168733558814,12043.060410379725,12931.222113396454,10687.366876166107,11197.247660208945,10186.067608937188,16232.45614035088,135973.5210450545
2025-05-21,10123.705472985173,9712.291453864487,11615.3908841885,8952.049497293116,8673.614064936908,13519.35362645622,11903.719215548886,12893.13309391664,10572.060749408392,10784.524559572163,10126.800342011642,16241.228070175439,135117.87103035758
2025-05-22,9998.845691830164,9750.595846101463,11666.65352240046,8816.705336426914,8655.891110165889,13509.958662157085,11867.22509309319,12528.566764609861,10532.685350904021,10784.524559572163,10087.288830727945,16078.947368421053,134277.8881364102
2025-05-23,9936.405230665023,9610.146407899218,11608.950193746487,8886.310904872389,8762.228838792005,13444.193912063136,11711.295660782489,12210.25138752857,10422.989200493923,10518.946553491844,9816.634978434617,15679.824561403511,132608.1778301732
2025-05-26,10243.766207353494,10014.470548178413,11628.206543741491,8913.37973704563,9024.528569403092,14054.866591506954,12062.966295355562,12514.96354336707,10662.061660275518,10856.305017153689,10059.630772829356,15969.298245614036,136004.4437318243
2025-05-27,10306.206668518636,10137.895812053115,11698.725531948454,8847.641144624902,8921.73543173118,14233.370913190533,12248.754555130014,12574.817716835347,10839.243413254386,10946.02574564493,10110.995737498164,16057.01754385965,136922.4302142893
2025-05-28,10330.212473039717,9767.620020429009,11794.875839261398,8963.650425367363,8836.665248830286,14552.799699361145,12381.460454968908,12884.971161170966,10940.494437979904,11107.5269317177,10103.093435241424,16337.719298245616,138001.0894256134
2025-05-29,10046.867871459965,9312.223357167179,11666.65352240046,8808.971384377417,8751.595065929394,13913.94212701992,12275.295735097792,13203.286538252258,10690.186944921496,10953.19410443175,9929.242785593156,15916.666666666668,135468.12610331745
2025-05-30,9984.43798088246,9295.199182839633,11019.232690315832,8762.567672080433,8712.60456543315,13660.278090943255,12228.848670154179,12702.687996517576,10586.11585144059,10978.322108070952,9889.731274309459,15074.561403508773,132894.58748649628
2025-06-02,9801.936785348997,9022.81239359891,10999.976340320827,8824.439288476411,8889.834113143344,13068.39534009771,12169.131015226676,12797.910545217108,10257.057561373445,11114.695290504522,9790.952496100215,15460.526315789475,132197.66748519763
2025-06-03,9653.060629085268,8975.995914198162,11006.417030762841,8669.760247486467,8687.792428753723,12852.311161217589,11744.472135742211,12977.47306562194,10099.555967355973,11042.914832922994,9583.517061860804,15350.877192982458,130644.14766799044
2025-06-04,9681.876050980678,9073.884916581545,11211.53330494172,9010.054137664347,8950.09215936481,13275.084554678695,11943.530985500554,13453.5858091196,10096.750979182163,11125.467202627417,9613.150695323577,15513.157894736843,132948.16869070195
2025-06-05,9435.983041394846,8588.69594824651,11025.673380757846,8720.030935808198,9301.006663830995,12871.10108981586,11684.754480814709,13137.991076286866,9905.49904358952,10971.134375341466,9449.177923496232,15364.035087719301,130455.08304710234
2025-06-06,9316.88423050139,8416.326183180116,11025.673380757846,8634.957463263727,9084.786615624558,12786.546411123638,11389.483853673168,13412.776145391228,9708.637131649257,10917.31356261232,9168.646193381981,15250.000000000002,129112.03117115922
2025-06-09,9386.037014815314,8541.87946884576,11249.98028360069,8634.957463263727,9169.856798525452,13049.605411499439,11548.730933479843,13834.476003917729,9905.49904358952,11017.806203226459,9322.7410873884,15539.473684210529,131201.04339636286
2025-06-10,9581.983997821615,8450.374531835207,11320.499271807654,8778.035576179427,9187.579753296472,13077.790304396845,11923.62510052472,14433.017738600502,10248.627516270442,11294.136747487006,9478.811556959005,16131.578947368424,133906.0610425473
2025-06-11,9532.037971242084,8484.422880490296,11378.202600461627,8700.696055684455,9095.420388487171,13040.210447200303,12096.142770315284,14535.04189792143,10220.502231624463,11261.840385060985,9391.88623213487,16447.368421052633,134183.7722816756
2025-06-12,9497.46157908512,8326.949267960505,11410.274610009623,8546.01701469451,8939.4583865022,12983.840661405487,11943.530985500554,14603.058004135379,10063.000637606992,10963.966016554647,9439.300045675307,16267.543859649126,132984.40106877944
2025-06-13,9268.862050871589,8314.181137214844,11025.673380757846,8348.801237432328,8779.951793563025,12664.411875234877,11727.88389826235,13059.092393078681,9894.248929731128,10587.142831679961,9245.69364038519,15986.84210526316,128902.78527347496
2025-06-16,9345.699652396797,8099.2509363295885,10999.976340320827,8290.796597061099,8872.111158372325,12795.941375422773,11734.519193254295,13426.379366634019,9897.068998486515,10558.43064864735,9251.620367077745,16263.157894736845,129534.95252874018
2025-06-17,9518.592183769244,7929.0091930541375,11346.130590913632,8186.388244392885,8751.595065929394,12842.916196918453,11711.295660782489,14113.342039394929,9905.49904358952,10759.39655593296,9364.228174236283,17149.122807017546,131577.5157559315
2025-06-18,9472.483280501538,7750.255362614913,11608.950193746487,8043.310131477185,8694.88161066213,12495.302517850434,11625.036825887206,14453.422570464687,9849.248474297563,10669.675827441717,9218.035582486602,17982.456140350878,131863.05851778135
2025-06-20,9453.276522767144,7875.808648280559,11019.232690315832,8190.255220417634,8631.078973486461,12805.336339721911,11651.578005854984,14412.612906736316,9916.749157447908,10784.524559572163,9253.595942641929,17407.894736842107,131401.94370408496
2025-06-23,9124.78494139455,7788.55975485189,11314.124302696679,8016.241299303944,8542.464199631364,12391.95791055994,11309.86031376983,14630.264446620962,9638.316379743525,10662.507468654898,9040.233781709965,17692.98245614035,130152.2972550779
2025-06-24,9595.429785294453,7686.414708886618,11538.49692687056,8174.787316318639,8847.299021692897,12974.445697106354,12016.519230411946,14793.503101534445,10223.307219798273,10971.134375341466,9348.423569722803,17899.12280701755,134068.883759996
2025-06-25,9514.744489869785,7873.680626489615,11628.206543741491,8186.388244392885,8776.40720260882,12899.285982713267,11761.060373222073,15242.409402546524,9998.320023212034,11017.806203226459,9231.864611435896,17925.43859649123,134055.6122999501
2025-06-26,9653.060629085268,8331.20531154239,12198.73341850818,8213.457076566125,9215.936480930102,13087.185268695981,12086.189827827367,15385.243225595823,10363.933643028158,11211.60375172525,9344.472418594434,18228.070175438595,137319.0912275377
2025-06-27,9805.277091041937,8622.7442969016,12391.034033134067,8418.406805877803,9145.044661846025,13087.185268695981,12076.23688533945,15283.219066274894,10369.558699957353,11129.051382020825,9522.274219371073,18096.49122807018,137946.5236385312
2025-06-30,9999.77590354212,8703.60912495744,12538.44697865897,8294.663573085847,9137.955479937616,13434.798947764,12275.295735097792,15514.47382740233,10580.490794511394,11304.908659609902,9751.440984816518,18447.368421052637,139983.22843043657
2025-07-01,9856.015911694158,8584.439904664623,13166.677182079633,8302.397525135344,9169.856798525452,13547.538519353628,12109.413360299173,15725.32375666558,10439.864371281506,11154.179385660027,9621.052997580317,18622.807017543862,140299.56673048332
2025-07-02,9984.977080851888,8575.927817500851,12820.522931486828,8491.879350348028,9641.287395434569,13462.983840661407,12189.036900202509,15235.607791925127,10608.616079157371,11243.90011415127,9682.295840070046,18179.824561403508,140116.8597031934
2025-07-03,10454.311171884945,8529.111338100103,13217.939820291595,9296.210363495746,9563.306394442083,14092.446448703497,12557.295772255444,15480.465774295355,10895.49398254634,11405.401300224039,10253.237178119474,18701.754385964916,144446.97393032353
2025-07-04,10253.470006803233,8465.270684371808,12910.232548357755,9095.127610208816,9389.621437686092,13848.177376925969,12507.531059815858,15534.878659266515,10816.743185537603,11071.627015955604,10126.800342011642,18578.947368421053,142598.42729536194
2025-07-07,10460.653524466472,8482.294858699353,13141.045862973655,8836.040216550658,9315.18502764781,13801.20255543029,12500.895764823914,15670.910871694417,10819.548173711411,10946.02574564493,10134.702644268382,19267.543859649126,143376.04910556044
2025-07-08,10623.44057405902,8490.806945863125,12948.745248347768,8808.971384377417,9378.987664823482,13575.723412251034,12636.91931215878,15534.878659266515,11038.925393950036,11179.288015356562,10225.579120220886,18640.350877192985,143082.6166078676
2025-07-09,10776.714094779274,8631.256384065373,13076.901843877666,8720.030935808198,9215.936480930102,13575.723412251034,12706.5899095742,16126.618783327895,11162.676646392336,10953.19410443175,10193.969911193928,18969.298245614038,144108.9107522458
2025-07-10,10447.968819303416,8529.111338100103,12801.266581491824,8894.044856921886,9279.739118105772,13040.210447200303,12285.248677585709,15800.141473500926,10912.369153333926,10712.744101990635,10000.36350590381,18881.578947368424,141584.78702080675
2025-07-11,10206.959421205362,8282.260810350697,12871.785569698788,8874.709976798144,9410.888983411316,12871.10108981586,12271.97808760182,16031.39623462836,10951.744551838294,10777.336826842675,9945.047390106634,19096.49122807018,141591.7001703681
2025-07-14,10261.926476911935,8207.780047667688,12884.601229251777,8870.843000773395,9414.433574365521,12777.151446824502,12408.001634936687,16221.841332027427,10993.924938516471,10719.93183472012,9976.656599133592,19399.122807017546,142136.21492214667
2025-07-15,10190.046480987954,8180.115764385427,13012.823546112717,8770.30162412993,9315.18502764781,13096.580232995115,12404.683987440714,16174.23005767766,11041.745462705423,10745.040464416656,9933.193936721525,19346.491228070176,142210.4378132911
2025-07-16,10240.785301640175,8263.10861423221,13315.141668901195,8584.686774941994,9258.47157238055,12993.235625704623,12517.484002303776,16323.865491348351,11097.980951415797,10709.159922597224,9824.537280691358,19557.01754385965,142685.47475001687
2025-07-17,10414.142938868601,8467.39870616275,13249.42033786022,8565.351894818252,9247.837799517936,13519.35362645622,12796.166391965455,16575.525084339974,11339.858399371202,10938.838012915445,10110.995737498164,19517.543859649126,144742.43278942333
2025-07-18,10623.44057405902,9103.67722165475,13209.987539235637,8890.177880897138,9343.541755281443,13866.96730552424,13121.295846570749,16650.34280117532,11562.040607783634,11161.347744446848,10265.090631504583,19232.456140350878,147030.36604848423
2025-07-21,10586.44351733344,8924.923391215525,12966.818614384036,9551.430781129156,9499.503757266413,13697.8579481398,13058.260544147273,16541.517031232997,11325.803297339004,11146.991652930541,10324.35789843013,19276.315789473683,146900.22422302203
2025-07-22,10433.169996613186,8869.594824651005,12973.39074748813,10131.477184841453,9581.029349213102,13632.093198045848,12972.001709251992,16527.91380999021,11221.732203858097,11082.398928078499,10241.383724734364,18899.122807017546,146565.30848378345
2025-07-23,10443.740584249064,8878.106911814777,13275.708870276609,10668.986852281516,9765.348078831705,13716.64787673807,13081.48407661908,17208.07487212972,11232.982317716489,11125.467202627417,10367.820560842196,19403.508771929828,149167.8769760565
2025-07-24,10824.281739140732,8895.131086142323,13012.823546112717,10491.105955143077,9768.89266978591,14045.471627207817,13403.2958837284,17099.2491021874,11570.485733468216,11215.187931118659,10608.84077967275,19197.368421052633,150132.13447476065
2025-07-25,10855.99350204837,8873.85086823289,12907.66941644716,10363.495746326373,9634.19821352616,14177.001127395717,13443.107653680068,17031.23299597345,11584.540835500415,11215.187931118659,10620.69423305786,19087.719298245618,149794.69182155275
2025-07-28,10655.152336966657,8520.59925093633,12487.05289778493,9822.119102861561,9354.175528144053,13942.127019917325,13117.978199074774,16398.6832081837,11300.483000866834,10989.094020193847,10395.478618740786,18478.0701754386,145461.01335910943
2025-07-29,10887.705264956008,8371.63772557031,12572.490628138194,9566.89868522815,9421.522756273927,14130.026305900039,13429.837063696179,16391.881597562304,11539.540380066852,11197.247660208945,10577.231570645792,18421.05263157895,146507.07226982564
2025-07-30,10829.567032958672,8386.533878106913,12618.495559866877,9551.430781129156,9453.424074861763,14083.051484404361,13569.17825852702,16555.120252475786,11640.79140479237,11394.629388101144,10905.17711430048,18517.543859649126,147504.94308917367
2025-07-31,10702.719981328115,8250.34048348655,12460.76436536854,9098.994586233566,9059.97447894513,13744.832769635477,13582.448848510907,16473.500925019045,11584.540835500415,11308.492839003311,10853.812149631674,18285.087719298244,145405.509981961
2025-08-01,10471.224112102353,8060.9465440926115,12217.59544051694,8832.173240525908,8967.81511413583,13378.429161969187,13240.731156425754,16283.055827619983,11412.984139450744,11190.059927479457,10355.967107457089,17995.61403508772,142406.59580686357
2025-08-04,10602.29939878726,8094.994892747702,12066.4363791227,8797.370456303172,8989.082659861053,13519.35362645622,13529.366488575351,15942.975296550225,11569.822187878714,11236.712381421783,10565.378117260683,17675.438596491233,142589.2304814561
2025-08-05,10543.104108026333,7801.327885597549,12342.46596949479,8739.365815931942,8971.359705090033,13190.529875986473,13555.90766854313,15983.784960278595,11533.628792087644,11290.552568093597,10284.846387146432,17771.929824561405,142008.80356083793
2025-08-06,11294.672888937374,7863.0405175349,12533.057829513611,8971.38437741686,9074.152842761947,13754.227733934613,14100.001857882598,16187.83327892045,11973.981774212329,11391.045208707734,10664.156895469927,18289.473684210527,146097.02888950286
2025-08-07,12050.469904902768,7933.2652366360235,12362.18236880708,9087.393658159319,9439.245711044947,14862.833521232622,14471.578377431504,16208.238110784634,12290.67398738419,11792.996397221621,10928.8840210707,18030.701754385966,149458.46304906136
2025-08-08,12219.59930707684,7305.498808307797,12434.475832952152,9257.54060324826,9588.11853112151,15050.732807215334,14736.990177109295,16031.39623462836,12595.301735292363,11778.640305705316,11213.36690231332,17894.736842105267,150106.3980870758
2025-08-11,12156.175781261563,7277.834525025536,12158.446242580063,9327.146171693736,9495.959166312208,15050.732807215334,14531.296032359009,15392.044836217217,12498.786013182844,11692.503756607483,11142.246182002666,18425.43859649123,149148.61011094888
2025-08-12,12425.725765976493,7067.1603677221665,12342.46596949479,9435.421500386698,9637.742804480364,14853.438556933486,14577.74309730262,16072.205898356731,12574.188921080906,11778.640305705316,11304.243378265826,19197.368421052633,151266.34498675802
2025-08-13,12446.866941248252,7026.727953694246,12441.047966056249,9307.811291569993,9694.456259747627,14891.018414130027,14471.578377431504,15800.141473500926,12839.607156882086,11753.512302066116,11205.464600056583,18236.84210526316,150115.07484164677
2025-08-14,12230.16989471272,6979.911474293497,12125.585577059575,8874.709976798144,9325.818800510424,14731.304021044722,13987.201843019539,15582.489933616282,12559.108339501294,11645.851302665158,10845.909847374935,18061.403508771935,146949.46451936822
2025-08-18,12240.7404823486,7065.032345931222,12335.893836390691,8944.315545243619,9322.274209556219,14599.774520856821,14046.91949794704,15521.275438023726,12441.479803180317,11660.207394181463,10766.88682480754,18692.98245614035,147637.78235460763
2025-08-19,12351.731652525335,7537.453183520599,12355.610235702983,9048.723897911832,9400.255210548705,14900.413378429163,14159.719512810103,15507.672216780935,12507.83436213061,11739.156210549809,10968.395532354398,19153.508771929828,149630.4741651943
2025-08-20,12372.872827797095,7337.419135171945,12178.162641892355,8878.576952822892,9325.818800510424,14740.698985343857,14133.178332842323,15364.838393731636,12453.544268444006,11653.019661451975,10865.665603016783,18991.228070175443,148295.02367320075
2025-08-21,12473.293410337952,7235.274089206673,12460.76436536854,8897.911832946636,9279.739118105772,15041.3378429162,14232.707757721495,15575.688322994885,12628.47901476751,11818.105026918156,10972.346683482767,19035.087719298248,149650.73518406483
2025-08-22,11310.528770391194,7311.882873680627,12171.590508788258,8959.783449342614,9311.640436693608,13848.177376925969,12633.601664662809,15840.951137229296,11084.22746101519,11193.644106872867,10071.484226214467,18478.0701754386,142215.5821872555
2025-08-25,11437.37582202175,7567.245488593804,12165.018375684162,9060.32482598608,9347.086346235646,13970.311912814732,12719.86049955809,15806.94308412232,11229.00104417947,11376.68911719143,10332.26020068687,18894.736842105263,143906.8535591796
2025-08-26,11564.222873652305,7575.757575757576,12171.590508788258,8979.118329466357,9339.997164327238,13989.101841413005,12703.272262078228,16072.205898356731,11204.87211365209,11369.501384461943,10458.6970367947,19122.807017543862,144551.14400629228
2025-08-27,11347.525827116771,7311.882873680627,12250.456106037425,8843.774168600155,9074.152842761947,13932.73205561819,12530.754592287665,15623.299597344652,11126.453089438106,11233.128202028374,10257.188329247845,18684.21052631579,142215.55821047755
2025-08-28,11326.384651845014,7192.713653387811,12158.446242580063,8785.769528228924,9074.152842761947,13603.908305148443,12351.601627505157,15664.109261073025,11038.985716276355,11057.270924439299,10154.45839991023,19565.789473684214,141973.59062684048
2025-08-29,10961.699378407167,7103.336738168199,12046.719979810407,8754.833720030936,9074.152842761947,13237.50469748215,12159.17807273876,15432.85449994559,10707.212921524879,10867.057555333917,9996.41235477544,18521.929824561405,138862.8925855408
