Data,ACP,BFT,BDX,CDR,CPS,DNP,KTY,KRU,LPP,OPL,PKN,RBW,SNT,XTB,value
2025-01-02,7142.857142857144,7142.857142857143,7142.857142857143,7142.857142857143,7142.857142857143,7142.857142857143,7142.857142857142,7142.857142857143,7142.857142857143,7142.857142857143,7142.857142857143,7142.857142857143,7142.857142857143,7142.857142857143,100000.00000000001
2025-01-03,7278.196992161117,7241.379310344828,7074.258143694553,7238.812495091088,7127.72397094431,7176.692666595434,7076.00560821651,7173.59766250589,7205.474550496467,7047.620123515616,7125.48856895713,7121.445904335946,7125.821030695776,7109.513864482805,100122.03089203747
2025-01-07,7199.242987591275,7586.206896551725,7044.441984022156,7135.484511546504,7122.679580306699,7069.8436442639895,7065.726651113587,7159.933224660863,7236.829844649194,7019.044983101027,7226.042651365721,6832.790688716844,6870.096164273551,7468.430815805199,100036.79462796834
2025-01-08,7105.261460463256,7352.216748768473,7002.680647409877,6810.644153095838,7047.013720742535,6970.117890087973,7040.012838297008,7071.159033693824,6945.919804991502,6959.998434570493,7234.011029355692,6747.202378120207,6835.987303150471,7397.825238659915,98520.05068140705
2025-01-09,7060.1481773619325,7512.315270935961,6904.265488574891,6984.1047550878575,7105.024213075061,7176.692666595434,7076.00560821651,7156.5215807021705,6986.220443092704,6927.620672222866,7202.900116070631,6768.6136166414035,6887.168913235264,7423.319941239978,99170.92146305267
2025-01-10,7056.385537579864,7475.369458128079,6922.152065533174,7093.027046812875,7062.146892655367,7247.925348149733,7137.712190952592,7286.271223194035,6977.228508811164,6847.614313674148,7271.627376234126,6747.202378120207,7108.748281734063,7413.5118552474005,99646.92247682682
2025-01-13,7030.070095675484,7315.2709359605915,6928.124654003115,7013.669377127505,6872.982243744956,7078.747729458276,7040.012838297008,7149.698292784784,6677.419715538063,6836.186274814378,7264.390470442454,6597.493638936281,7194.002116141589,7044.797352933493,98042.865735858
2025-01-14,7067.6657780693695,7364.532019704434,6859.525654840525,7087.4697870309865,6996.569814366424,7301.3498593154545,7060.581699209035,7289.682867152727,6722.146435280437,6809.527575161798,7299.11205500422,6629.610496718076,7194.002116141589,6980.080841384182,98661.85699937926
2025-01-15,7180.45282525103,7376.847290640394,6880.406323146665,7181.60976773618,7062.146892655367,7721.622680485808,7204.574672299404,7477.466180962884,6847.474431225214,6919.995255296134,7464.051254101302,6629.610496718076,7449.726982563814,7060.4839695209785,100456.46902260324
2025-01-16,7259.399150964173,7364.532019704434,6835.6664894123005,7644.899991552966,7135.290556900726,7753.677387185241,7168.570955673722,7361.380976316046,6892.201150967589,6952.383104174089,7451.024823676292,6693.7309253053645,7398.582009279368,7207.584189407521,101118.92373051983
2025-01-17,7195.488026665906,7266.009852216749,6922.152065533174,8065.6957022375755,7352.199354317998,7760.800655340671,7235.422490314354,7183.832594381969,7004.111130989653,7045.713769283933,7595.700686556693,6693.7309253053645,7620.1980145785155,7435.087537430861,102376.14280515343
2025-01-20,7266.916751671612,7500.0,7101.0958062448635,7999.267923644733,7377.421307506053,7855.1839584001145,7276.560212138409,7296.506155070114,7062.302456987804,7022.857691564393,7669.485999155228,6896.911117304133,7944.0673296462055,7595.90432870552,103864.48103803917
2025-01-21,7330.827875969878,7278.325123152709,6895.314402982864,8224.448090006861,7379.943502824859,7799.978630195534,7271.4262069400365,7255.530703545288,7089.138488833229,7053.329099680338,7672.380761471896,6929.027975085928,7961.140078607919,7590.0257981106115,103730.83673740795
2025-01-22,7428.572042879965,7266.009852216749,6999.7021502877915,7818.360593544984,7526.230831315577,7976.27951704242,7554.256254510044,7378.457058119767,7160.747830754093,7091.425924723014,7639.106558068465,6843.439664489291,7722.487961147406,7597.8638389038215,104002.94007800339
2025-01-23,7571.429492891376,7290.64039408867,7184.602885243652,7851.5930070406785,7382.465698143664,8031.4848452470005,7538.8323455025675,7303.3294429874995,7124.919864627129,7076.185177399879,7668.038617996894,6683.081949532918,7739.524073308772,7456.663219614319,103902.79101362503
2025-01-24,7819.533352806914,7253.694581280788,7396.356876975593,7644.899991552966,7440.476190476191,7978.060334081277,7610.817885341572,7337.48160659494,7241.302516623431,7199.997337155994,7624.632746485121,6683.081949532918,7790.669046593217,7472.3498362018045,104493.35425170272
2025-01-27,7857.159750627594,7155.172413793104,7348.638546119143,7567.357693396346,7337.066182405166,8104.498343840154,7487.404719869411,7279.430073266393,7241.302516623431,7453.330632832947,7566.768626628265,6576.139043903234,7614.006395319869,7303.684469132869,103891.95940775794
2025-01-28,7999.986485212212,7179.802955665025,7211.456142019733,7493.520235094318,7468.220338983051,8293.264949959042,7610.817885341572,7334.0699626362475,7299.493842621582,7504.7618509670765,7579.795057053276,6554.727805382037,7773.010108825951,7325.260151316329,104628.18777107744
2025-01-29,7992.461205648076,7044.334975369458,7193.553970835679,7548.907590920476,7508.575464083939,8147.237952772733,7713.673136607888,7221.396401948103,7250.247860571906,7466.665025924401,7566.768626628265,6437.135923979908,7649.324270854399,7246.805998376767,103987.08840452202
2025-01-30,8075.162492286589,7315.2709359605915,7220.39163338599,7788.833019903883,7758.272800645683,7942.443993304129,7867.9450668011805,7398.94478388218,7317.384530518531,7605.7179330036515,7728.813063408679,6469.196138273552,7666.983208621666,7415.471365445704,105570.83096544199
2025-01-31,8894.726867674564,7339.901477832513,7124.954971673089,7792.537859758475,7796.105730427765,8019.019125974998,7847.376205889153,7316.993880832527,7366.583922235143,7594.279807613556,7782.335039790532,6650.965091751123,7773.010108825951,6432.892886008761,105731.68297628814
2025-02-03,8691.697896576858,7105.911330049262,7080.230732164494,7707.622930291216,7682.606941081517,7992.306870392137,7667.390462879282,7200.90867618569,7169.693174702567,7417.140162021954,7663.69647452189,6554.727805382037,7578.651882984991,6275.984580129641,103788.56991936354
2025-02-04,8909.777426802835,7130.541871921183,7157.765222693341,7929.135305197297,7707.828894269572,8011.895857819569,7821.662393072575,7252.119059586595,7357.685168619733,7485.708395180575,7844.556866360653,6650.965091751123,7773.010108825951,6332.863050885741,105365.51471298674
2025-02-05,9097.755838772267,7118.226600985222,7008.653235879819,8180.138205345936,7415.254237288135,8132.991416461874,7765.100762241045,7241.884127710516,7339.747890389719,7428.568200881724,7935.695189620939,6704.436544565963,8249.984612543854,6323.054964893164,105941.49182758016
2025-02-06,9120.331677464676,7290.64039408867,7396.356876975593,8084.1458047134465,7490.9200968523,8095.594258645868,7903.937836720683,7436.490729438057,7742.567910069476,7539.045967546387,8052.886373731247,6929.027975085928,8302.96142584565,6423.084800016183,107807.99212719417
2025-02-07,8977.428154313076,7266.009852216749,7836.269985949603,7995.563083790141,7528.753026634383,8179.292659472167,8233.061504725474,7474.054537004191,7742.567910069476,7540.95232177807,8122.345106093039,6939.676950858376,8179.312224674445,6332.863050885741,108348.15036846494
2025-02-10,9240.582573356885,7487.68472906404,7903.371939438265,8084.1458047134465,7639.729620661824,8207.785732093886,8258.775317542053,7559.417084012536,7702.267271968275,7556.193069101206,8197.577799849909,6939.676950858376,8179.312224674445,6411.317203825302,109367.83732116046
2025-02-11,9428.56098532632,7463.054187192119,7910.825979356364,8279.798397434473,7743.139628732849,8280.79923068704,8176.4889271877655,7661.837850814348,7814.177251990339,7676.192520393955,8313.321602801881,6832.790688716844,8126.298774572301,6364.246819061779,110071.5328442684
2025-02-12,9774.416691008644,7549.261083743842,7903.371939438265,8464.373518990269,7685.129136400323,8352.031912241337,8279.344178454081,7641.367987062189,7876.794659629663,7708.5702827415835,8253.99453854843,6811.379450195646,8302.96142584565,6260.297963542155,110863.29476784206
2025-02-13,9864.643257211292,7549.261083743842,8186.687833229112,8375.790798066962,7710.351089588377,8428.607044912207,8330.760857381058,7685.755082545708,8006.595327548677,8026.66918964412,8303.18993469354,6832.790688716844,8214.630100208975,6452.498522992852,111968.23081048358
2025-02-14,9714.291243062538,7697.04433497537,8268.713460779742,8372.08595821237,7566.585956416465,8421.483776756777,8222.77160091637,7624.291905258468,7970.813951754778,8017.137418485705,8332.121994621968,6811.379450195646,8020.308511168361,6619.204379863484,111658.23394246802
2025-02-17,9849.59269808302,7623.152709359606,8283.62154061594,8490.196252776777,7566.585956416465,8476.689104961357,8407.902295830794,7747.200397822693,8082.677341443779,7946.662831095402,8426.170643437184,6822.085069456244,8037.967448935627,6717.264169787135,112477.76846002201
2025-02-18,10353.402486045215,8004.926108374385,8507.305115061996,8453.296047825037,7566.585956416465,8804.359440111124,8572.46412983319,7532.1060703327375,8167.75128962042,8064.755928156469,8825.476647516622,6950.3825701189735,8037.967448935627,6732.9613213756875,114573.74055972396
2025-02-19,10150.37351494751,7536.945812807882,8305.983660370237,8427.473314038529,7289.14447134786,8619.154468069952,8474.753830471427,7364.7926202747385,8131.9233234934545,7889.522636796551,8795.097206429858,6800.6738309350485,8108.639836805036,6756.496513757447,112650.97504054551
2025-02-20,10157.898794511644,7463.054187192119,8298.529620452138,8335.18575326063,7011.702986279258,8567.510773943086,8341.050761190161,7296.506155070114,8082.677341443779,7839.997772894104,8698.169358536234,6779.319235902002,8090.9808990377705,6693.728977405373,111656.31261711841
2025-02-21,10368.453045173486,7216.748768472907,8320.907334432208,8423.768474183937,7203.389830508474,8638.743455497382,8418.192199639898,7375.0454141610735,8181.1693055431315,7946.662831095402,8734.338324256334,6843.439664489291,8002.649573401096,6678.042360817888,112351.55058167249
2025-02-24,10263.175919842566,7044.334975369458,8052.483926251787,8183.843045200529,7021.7917675544795,8458.880934572782,8320.481900278135,7282.859579235342,8055.841309598354,7807.620010546476,8666.342536291137,6896.911117304133,7914.318247764422,6583.901591290842,110552.78686110044
2025-02-25,10233.074801586023,7118.226600985222,7925.734059192562,8146.905791850242,6961.259079903148,8482.031556077929,8397.61239202169,7416.003003675644,8078.204669469541,7868.5729133086925,8774.849433451438,6896.911117304133,7949.636123298954,6444.660482199642,110693.68202432487
2025-02-26,10458.679611376134,7216.748768472907,8082.315680149954,8228.115881462909,7175.645682001614,8560.387505787656,8546.750317016611,7556.005440053844,8234.84136923398,8030.4718115771575,8939.788632548521,6950.3825701189735,7949.636123298954,6570.174484901659,112499.94387800086
2025-02-27,10481.17866150156,7056.650246305419,8074.861640231856,8047.245599761705,7084.846650524617,8419.702959717919,8315.336948373582,7409.179715758259,8145.341339416168,7878.09459793678,9103.264887249008,6736.553402347759,7843.645859895014,6476.033715374613,111071.93622439426
2025-02-28,10436.103772683728,7142.857142857143,8104.677799904251,8180.138205345936,7026.83615819209,8825.729244577413,8248.48541373295,6985.796486685479,8172.223961594656,7836.185064430739,9071.438065003911,6736.553402347759,7896.659309997156,6472.114694978008,111135.79872233121
2025-03-03,10496.229220629833,6995.073891625616,7895.9178995201655,8157.983263015473,7163.034705407586,8904.08519428714,8233.061504725474,6726.315063712005,8149.814011390405,8017.137418485705,9276.888373296099,6736.553402347759,7808.327984360482,6489.760821763796,111050.18275456752
2025-03-04,10300.725529096264,6896.551724137931,7679.688364992211,7973.4081414596785,6961.259079903148,8692.167966663106,8099.358435444209,6459.992490810889,7764.931269940664,7923.806753375861,8993.310608930373,6511.9619718277945,7313.694542875315,6179.884300404292,107750.74117986172
2025-03-05,10285.674969967993,6933.497536945813,8186.687833229112,8091.555484422631,7097.457627118644,8693.948783701964,8371.909525911293,6634.129228786273,8064.786653546829,7990.478718833126,9153.907664552453,6929.027975085928,7349.012418409846,6374.054905054357,110156.12932556626
2025-03-06,10526.330338886375,6995.073891625616,8857.738556567274,7966.035510149039,7319.410815173527,8638.743455497382,8659.88452538585,6644.364160662352,8279.61467930942,8203.80883523572,9288.467422562773,6918.322355825329,7384.3302939443765,6366.2063292600815,112048.3311700851
2025-03-07,10526.330338886375,6995.073891625616,8663.886736019385,7954.9580389838075,7332.0217917675545,8615.592833992238,8629.02576066472,6695.574544063258,8181.1693055431315,8255.24005336985,9326.08376944121,6896.911117304133,7419.684806279255,6372.084859854989,111863.63784779553
2025-03-10,10699.258191727538,6908.866995073892,8723.53464958995,7847.925215584632,7311.84422921711,8352.031912241337,8531.315461302956,6644.364160662352,8055.841309598354,8293.336878412525,9375.263602348057,6768.6136166414035,7154.690829369231,6275.984580129641,110942.87163189898
2025-03-11,10556.35466857594,7266.009852216749,8812.998722832908,7740.8553437869095,7364.810330912025,8319.977205541903,8572.46412983319,6582.900983375112,8051.368637624118,8310.473893437016,9444.722334709852,6693.7309253053645,7207.704279471375,6277.954625329009,111202.32593295147
2025-03-12,10593.981066396616,7315.2709359605915,9424.385938374739,7740.8553437869095,7435.4317998385795,8458.880934572782,8587.888038840665,6726.315063712005,7970.813951754778,8127.615185150368,9573.477004848572,6747.202378120207,7366.671356177111,6397.590097436118,112466.37909497005
2025-03-13,10714.30875085581,7241.379310344828,9469.125772109104,7873.747949371142,7513.619854721549,8526.551982049366,8557.029274119535,6685.339612187178,8002.122655574441,8342.851655784647,9640.025411655435,6929.027975085928,7313.694542875315,6515.25552434386,113324.08027107813
2025-03-14,10962.412610771347,7376.847290640394,9528.773685679666,7973.4081414596785,7551.452784503632,8601.346297681377,8881.007990219774,6801.424816834016,8055.841309598354,8479.998208632214,9749.99525321233,6950.3825701189735,7455.002681813786,6599.598742879394,114967.49238404493
2025-03-17,11195.465911558615,7204.433497536947,9513.86560584347,7973.4081414596785,7652.340597255851,8647.64754069167,8983.85229477991,6996.049280571813,8158.75935533888,8539.044757162748,9789.0589812491,7463.629216258039,7384.3302939443765,6574.093505298264,116075.97897894935
2025-03-18,11210.516470686885,7278.325123152709,9387.115738784243,8017.718026120604,7705.306698950767,8745.592477828828,8999.287150493567,7002.872568489199,8203.53266541432,8630.479154571236,9896.118497251065,7431.569001964396,7384.3302939443765,6585.861101489144,116478.62496914135
2025-03-19,11345.894714274351,7105.911330049262,9267.819911643117,8054.618231072343,7662.429378531073,8693.948783701964,8891.2869473227,6985.796486685479,8181.1693055431315,8409.52362124191,9875.855161034382,7431.569001964396,7349.012418409846,6638.820551848641,115893.65584332259
2025-03-20,11278.167198197127,7093.596059113301,9178.340244174387,8213.37061884163,7601.896690879742,8300.38821811447,8834.725316491169,6883.375719883668,8122.977979544981,8371.426796199234,9878.749923351052,7485.040454779238,7402.02586851199,6572.133995099962,115216.21508318197
2025-03-21,11533.796337676802,7327.586206896552,9118.692330603824,8220.743250152269,7891.949152542373,8172.169391316737,8773.018733755089,6832.147474472507,8051.368637624118,8516.188679443207,9867.186437322638,7741.635456104696,7490.357194148663,6536.8312065273185,116073.6704885868
2025-03-24,11834.577154541292,7229.064039408867,9193.248324010585,8261.348294958603,8015.536723163842,8214.909000249316,8819.301407483694,6845.811912317536,8118.505307570743,8539.044757162748,10033.557454339794,8008.992720178902,7525.675069683194,6603.517763275999,117243.08992834511
2025-03-25,11984.929168690047,7327.586206896552,9409.47785853854,8479.155830010091,7985.270379338176,8116.9640631121565,8911.866754940906,6879.964075924975,8046.895965649879,8571.422519510375,10113.132291571666,8286.998960025556,7419.684806279255,6842.788707490218,118376.13758797839
2025-03-26,12052.65668476727,7241.379310344828,9141.070044583892,7803.615330923706,8013.014527845036,7928.19745699327,8845.015220300273,6835.576980441456,8028.958687419864,8386.66754352237,10143.527295896689,7752.341075365293,7490.357194148663,6793.758812528393,116456.13616508098
2025-03-27,11849.627713669564,7179.802955665025,8947.202629810234,7766.715125971965,7967.6150121065375,8141.89550165616,8834.725316491169,6828.735830513815,8064.786653546829,8428.566990498086,10104.463567859922,7784.4579331470895,7843.645859895014,6732.9613213756875,116475.20241220709
2025-03-28,11879.728831926106,7167.487684729064,8753.350809262347,8062.0279107815295,7902.037933817594,8120.525697189872,8711.301204312827,6664.851886424765,8024.5326057786915,8466.663815540762,9988.704201669687,7816.518147440734,7702.337720956543,6681.961381214493,115942.029831045
2025-03-31,11879.728831926106,7105.911330049262,8432.749121655233,7818.360593544984,7619.552058111381,8038.60811340243,8505.612595192557,6442.916409007168,7881.2673316039,8340.955388083288,9846.923101105955,7752.341075365293,7596.347457552603,6681.961381214493,113943.23478781465
2025-04-01,12218.059258044294,7105.911330049262,8356.696082574545,7751.932814952142,7833.938660209847,8104.498343840154,8551.895268921164,6567.539654555867,8051.368637624118,8571.422519510375,9975.69333448294,7741.635456104696,7469.144486747737,6581.942081092539,114881.67792870969
2025-04-02,11902.227882051533,7389.162561576355,8276.167500697842,7991.858243935548,7773.405972558515,8220.251451365886,8495.322691383453,6596.56542122014,8071.495661508186,8499.041577888389,10003.178013253031,7693.545134664229,7476.215389214712,6727.0722557797135,115115.50975709753
2025-04-03,12045.131405203132,7241.379310344828,7992.836012681225,7840.515535875446,7947.437449556094,8092.032624568153,8125.072248260788,6384.864875678622,7292.738244327161,8514.282325211525,9654.499223238778,7506.395049812284,7313.694542875315,6681.961381214493,112632.84022884784
2025-04-04,10977.46316989962,6982.758620689656,7980.906429967112,7851.5930070406785,8247.578692493948,7972.7178829647055,7924.50669763271,6234.6453694346,6876.546799057757,8325.714640760152,9287.02004140444,7137.532654970919,7137.031891601966,6511.336503947256,109447.3524018655
2025-04-07,10248.125360714293,6896.551724137931,7930.209601988576,7582.14000441617,7965.092816787732,7830.252519856111,7682.814371886757,6111.719014860121,6787.046769239944,8255.24005336985,9260.967180554419,7217.68319070503,6677.716325651329,6895.737622848648,107341.29655701693
2025-04-08,10736.807800981236,7068.9655172413795,8231.427666963476,7906.980362866835,8270.278450363196,8049.293015635575,7785.669623153072,6296.090684711584,6934.738125055908,8464.757461309078,9213.219165567643,7404.833275556975,7066.359503732558,7038.908287337519,110468.32894047603
2025-04-09,10165.424074075781,6724.137931034483,8210.546998657337,7404.937514171013,7944.9152542372885,8074.224454179579,7641.676650062704,6009.29824805831,6905.6191668903,8161.899301729678,8975.957598268622,7217.68319070503,6751.905846354052,7105.5948440862,107293.82107251039
2025-04-10,10797.010037494323,7032.019704433498,8523.710240572122,7840.515535875446,8005.447941888619,8332.442924813906,7945.086505250917,6319.99005443269,7071.247800936279,8548.566441790836,9302.925670907856,7506.395049812284,7009.828920797099,7256.6140843693465,111491.80091337523
2025-04-11,10789.484757930186,6896.551724137931,8720.540558242094,7766.715125971965,8118.946731234866,8298.607401075615,7816.517441168023,6217.569287630879,6847.474431225214,8592.38232952856,9323.18900712454,7431.569001964396,6981.5453109291975,7366.441470483878,111167.53457864735
2025-04-14,11218.041750251023,7056.650246305419,9472.104269231188,8076.7731734028075,8272.800645682,8669.01734515796,8083.923579730554,6374.6299438025435,7064.538792974924,8809.52515439452,9404.211225514748,7645.39816973561,7243.022155005906,7393.895683262244,114784.53213445145
2025-04-15,11360.86848483564,6933.497536945813,9543.681765515865,8169.060734180705,8416.565778853914,8690.387149624248,8145.641109172815,6497.538436366767,6981.701180785401,8929.52460568727,9122.080842307356,7634.749193963164,7221.809447604979,7652.78279946162,115299.88906530556
2025-04-16,11172.966861433188,7290.64039408867,9409.47785853854,8139.533160539602,8827.683615819209,8770.523916372833,8186.778830996868,6395.1176695649565,6916.847437158959,8996.186484614209,9239.272026417664,7629.368062588788,7257.163959939857,7668.469416049106,115900.02969412245
2025-04-17,11390.969603092186,7512.315270935961,9388.597190232402,8180.138205345936,8832.72800645682,9050.112191473449,8320.481900278135,6401.940957482343,6986.220443092704,9081.901819327648,9216.113927884311,7602.6323361813675,7193.562474537424,7713.580290614326,116871.294616935
2025-04-22,11533.796337676802,7549.261083743842,9400.526772946514,8313.030810930168,9105.125100887813,9256.68696798091,8418.192199639898,6509.48812122732,7086.808972179981,9188.566877528945,9545.992326078478,7784.4579331470895,7299.552737941364,7795.953463950492,118787.4397058596
2025-04-23,11300.743036889535,7820.1970443349755,9346.851447845891,8342.55838457127,9074.858757062146,9260.248602058626,8675.308434393326,6594.850668235666,7175.936279333274,9255.238842986211,9706.589381700558,7645.39816973561,7221.809447604979,7884.2157028826305,119304.80419963469
2025-04-24,11428.596000912863,7807.881773399015,9349.829944967978,8342.55838457127,9125.302663438257,9306.549845068917,8690.732343400801,6637.540872744966,7132.514088916719,9188.566877528945,9881.644685667721,7666.809408256808,7271.269128073461,7894.013253874142,119723.80927082186
2025-04-25,11578.948015061616,7795.566502463054,9364.738024804175,8294.580708454296,9200.96852300242,9449.015208177514,8773.018733755089,6634.129228786273,7041.0572651101775,9091.423503955735,9953.982617107922,7591.983360408921,7433.826611213206,7870.47806149238,120073.71636379279
2025-04-28,11684.225140392538,7894.088669950739,9639.118427228765,8420.063634329343,9231.234866828088,9498.878085265522,8788.442642762564,6700.700941006425,7175.936279333274,9148.573784784914,10029.21531086479,7661.484920370584,7603.418360019578,7868.518551294079,121343.89961443121
2025-04-29,11654.124022135995,8054.187192118227,9543.681765515865,8634.16632952624,9324.55609362389,9552.302596431244,8855.294177403197,6893.610651759747,7132.514088916719,9217.142017943535,9943.866512237842,7714.956373185426,7914.318247764422,7735.155972797786,122169.87604136016
2025-04-30,11699.27569952081,8029.556650246306,9442.288109558793,8597.2661245745,9327.078288942696,9416.96050147808,8886.152942124327,6815.089254679043,7041.0572651101775,9236.18538719971,9871.528580797642,7698.869622550453,7999.132440567782,8041.113473760685,122101.55434111104
